date,hometeam,awayteam,fthg,ftag,played
2020-07-01,Everton,Leicester City,2,1,True
2020-07-01,Bournemouth,Newcastle Utd,1,4,True
2020-07-01,Arsenal,Norwich City,4,0,True
2020-07-01,West Ham,Chelsea,3,2,True
2020-07-02,Sheffield Utd,Tottenham,3,1,True
2020-07-02,Manchester City,Liverpool,4,0,True
2020-07-04,Norwich City,Brighton,0,1,True
2020-07-04,Leicester City,Crystal Palace,3,0,True
2020-07-04,Manchester Utd,Bournemouth,5,2,True
2020-07-04,Wolves,Arsenal,0,2,True
2020-07-04,Chelsea,Watford,3,0,True
2020-07-05,Burnley,Sheffield Utd,1,1,True
2020-07-05,Newcastle Utd,West Ham,2,2,True
2020-07-05,Liverpool,Aston Villa,2,0,True
2020-07-05,Southampton,Manchester City,1,0,True
2020-07-06,Tottenham,Everton,1,0,True
2020-07-07,Watford,Norwich City,2,1,True
2020-07-07,Crystal Palace,Chelsea,2,3,True
2020-07-07,Arsenal,Leicester City,1,1,True
2020-07-08,West Ham,Burnley,0,1,True
2020-07-08,Manchester City,Newcastle Utd,5,0,True
2020-07-08,Sheffield Utd,Wolves,1,0,True
2020-07-08,Brighton,Liverpool,1,3,True
2020-07-09,Bournemouth,Tottenham,0,0,True
2020-07-09,Everton,Southampton,1,1,True
2020-07-09,Aston Villa,Manchester Utd,0,3,True
2020-07-11,Watford,Newcastle Utd,2,1,True
2020-07-11,Norwich City,West Ham,0,4,True
2020-07-11,Liverpool,Burnley,1,1,True
2020-07-11,Sheffield Utd,Chelsea,3,0,True
2020-07-11,Brighton,Manchester City,0,5,True
2020-07-12,Wolves,Everton,3,0,True
2020-07-12,Aston Villa,Crystal Palace,2,0,True
2020-07-12,Tottenham,Arsenal,2,1,True
2020-07-12,Bournemouth,Leicester City,4,1,True
2020-07-13,Manchester Utd,Southampton,2,2,True
2020-07-14,Chelsea,Norwich City,1,0,True
2020-07-15,Burnley,Wolves,1,1,True
2020-07-15,Manchester City,Bournemouth,2,1,True
2020-07-15,Newcastle Utd,Tottenham,1,3,True
2020-07-15,Arsenal,Liverpool,2,1,True
2020-07-16,Leicester City,Sheffield Utd,2,0,True
